id;name;serving_size;calories;total_fat;saturated_fat;cholesterol;sodium;choline;folate;folic_acid;niacin;pantothenic_acid;riboflavin;thiamin;vitamin_a;vitamin_a_rae;carotene_alpha;carotene_beta;cryptoxanthin_beta;lutein_zeaxanthin;lucopene;vitamin_b12;vitamin_b6;vitamin_c;vitamin_d;vitamin_e;tocopherol_alpha;vitamin_k;calcium;copper;irom;magnesium;manganese;phosphorous;potassium;selenium;zink;protein;alanine;arginine;aspartic_acid;cystine;glutamic_acid;glycine;histidine;hydroxyproline;isoleucine;leucine;lysine;methionine;phenylalanine;proline;serine;threonine;tryptophan;tyrosine;valine;carbohydrate;fiber;sugars;fructose;galactose;glucose;lactose;maltose;sucrose;fat;saturated_fatty_acids;monounsaturated_fatty_acids;polyunsaturated_fatty_acids;fatty_acids_total_trans;alcohol;ash;caffeine;theobromine;water
4737;"Fast foods, large patty; plain, hamburger; single";100 g;311;17g;6.1g;52mg;346.00 mg;0;44.00 mcg;21.00 mcg;4.560 mg;0.390 mg;0.210 mg;0.210 mg;0.00 IU;0.00 mcg;0;0;0;0;0;1.50 mcg;0.170 mg;0.0 mg;0;0;0;0;54.00 mg;0.095 mg;2.61 mg;20.00 mg;0.178 mg;128.00 mg;195.00 mg;19.8 mcg;3.00 mg;16.51 g;0.956 g;1.004 g;1.347 g;0.186 g;3.150 g;1.081 g;0.482 g;0;0.692 g;1.270 g;1.153 g;0.354 g;0.663 g;1.041 g;0.679 g;0.639 g;0.200 g;0.482 g;0.799 g;23.16 g;0;0;0;0;0;0;0;0;16.73 g;6.120 g;7.210 g;1.560 g;52.00 mg;0;1.50 g;0;0;42.10 g
1561;Fish, raw, wild, Atlantic, salmon;100 g;142;6.3g;1g;55mg;44.00 mg;0;25.00 mcg;0.00 mcg;7.860 mg;1.664 mg;0.380 mg;0.226 mg;40.00 IU;12.00 mcg;0;0;0;0;0;3.18 mcg;0.818 mg;0.0 mg;0;0;0;0;12.00 mg;0.250 mg;0.80 mg;29.00 mg;0.016 mg;200.00 mg;490.00 mg;36.5 mcg;0.64 mg;19.84 g;1.200 g;1.187 g;2.032 g;0.213 g;2.962 g;0.952 g;0.584 g;0;0.914 g;1.613 g;1.822 g;0.587 g;0.775 g;0.702 g;0.809 g;0.870 g;0.222 g;0.670 g;1.022 g;0.00 g;0.0 g;0;0;0;0;0;0;0;6.34 g;0.981 g;2.103 g;2.539 g;55.00 mg;0;2.54 g;0;0;68.50 g
5353;Alcoholic beverage, Muller Thurgau, white, table, wine;100 g;76;0g;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.48 g;0;0;0;0;0;0;0;0;0.00 g;0;0;0;0;9.0 g;0.15 g;0;0;87.28 g
327;Turnip greens, raw;100 g;32;0.3g;0.1g;0;40.00 mg;0;194.00 mcg;0.00 mcg;0.600 mg;0.380 mg;0.100 mg;0.070 mg;11587.00 IU;579.00 mcg;0.00 mcg;6952.00 mcg;0.00 mcg;12825.00 mcg;0;0.00 mcg;0.263 mg;60.0 mg;0.00 IU;2.86 mg;2.86 mg;251.0 mcg;190.00 mg;0.350 mg;1.10 mg;31.00 mg;0.466 mg;42.00 mg;296.00 mg;1.2 mcg;0.19 mg;1.50 g;0.103 g;0.094 g;0.158 g;0.017 g;0.204 g;0.090 g;0.036 g;0;0.078 g;0.137 g;0.098 g;0.034 g;0.092 g;0.071 g;0.061 g;0.082 g;0.026 g;0.058 g;0.102 g;7.13 g;3.2 g;0.81 g;0.29 g;0;0.52 g;0;0;0;0.30 g;0.070 g;0.020 g;0.120 g;0.00 mg;0.0 g;1.40 g;0.00 mg;0.00 mg;89.67 g
5775;Biscuits, higher fat, refrigerated dough, plain or buttermilk;100 g;307;11g;2.8g;1mg;977.00 mg;0;57.00 mcg;46.00 mcg;3.308 mg;0.346 mg;0.290 mg;0.391 mg;8.00 IU;2.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;8.00 mcg;0;0.05 mcg;0.063 mg;0.1 mg;0;0.69 mg;0.69 mg;6.2 mcg;51.00 mg;0.090 mg;2.48 mg;17.00 mg;0.438 mg;470.00 mg;162.00 mg;8.0 mcg;0.50 mg;6.66 g;0.172 g;0.210 g;0.266 g;0.123 g;1.578 g;0.177 g;0.121 g;0;0.215 g;0.393 g;0.206 g;0.095 g;0.240 g;0.574 g;0.246 g;0.171 g;0.064 g;0.101 g;0.256 g;46.32 g;0.7 g;7.40 g;0;0;0;0;0;0;10.58 g;2.806 g;6.559 g;0.681 g;1.00 mg;0.0 g;3.30 g;0.00 mg;0.00 mg;33.15 g
1509;Cranberry sauce, sweetened, canned;100 g;159;0.2g;;0;5.00 mg;3.8 mg;1.00 mcg;0.00 mcg;0.100 mg;0;0.021 mg;0.015 mg;33.00 IU;2.00 mcg;0.00 mcg;20.00 mcg;0.00 mcg;48.00 mcg;0;0.00 mcg;0.014 mg;1.0 mg;0.00 IU;0.93 mg;0.93 mg;1.4 mcg;3.00 mg;0.026 mg;0.41 mg;2.00 mg;0.073 mg;4.00 mg;28.00 mg;0.4 mcg;0.03 mg;0.90 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.40 g;1.1 g;31.75 g;9.75 g;0.00 g;17.45 g;0.00 g;4.45 g;0.10 g;0.15 g;0.007 g;0.007 g;0.031 g;0.00 mg;0.0 g;0.10 g;0.00 mg;0.00 mg;58.45 g
3688;Tomatoes, with green chilies, canned, ripe, red;100 g;15;0.1g;;0;401.00 mg;0;9.00 mcg;0.00 mcg;0.640 mg;0.148 mg;0.019 mg;0.034 mg;390.00 IU;20.00 mcg;0;0;0;0;0;0.00 mcg;0.103 mg;6.2 mg;0.00 IU;0;0;0;20.00 mg;0.090 mg;0.26 mg;11.00 mg;0.132 mg;14.00 mg;107.00 mg;0.4 mcg;0.13 mg;0.69 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.62 g;0;0;0;0;0;0;0;0;0.08 g;0.011 g;0.011 g;0.030 g;0.00 mg;0;1.39 g;0;0;94.23 g
4275;MORNINGSTAR FARMS Grillers Prime, unprepared, frozen;100 g;238;13g;1.6g;1mg;501.00 mg;0;0;0;0;0;0.200 mg;0.300 mg;0.00 IU;0;0;0;0;0;0;0;0;0.0 mg;0;0;0;0;58.00 mg;0;2.80 mg;0;0;0;224.00 mg;0;1.20 mg;24.00 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.90 g;2.6 g;0.30 g;0;0;0;0;0;0;13.20 g;1.600 g;5.600 g;6.000 g;1.00 mg;0;2.60 g;0;0;54.30 g
8062;"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, short ribs, chuck";100 g;175;11g;4.6g;73mg;81.00 mg;74.3 mg;3.00 mcg;0.00 mcg;3.567 mg;0.740 mg;0.200 mg;0.080 mg;6.00 IU;2.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;3.32 mcg;0.311 mg;0.0 mg;5.00 IU;0.17 mg;0.17 mg;1.5 mcg;11.00 mg;0.079 mg;2.53 mg;21.00 mg;0.014 mg;187.00 mg;313.00 mg;22.3 mcg;8.25 mg;19.38 g;1.120 g;1.303 g;1.784 g;0.206 g;3.156 g;0.863 g;0.639 g;0.098 g;0.848 g;1.604 g;1.743 g;0.565 g;0.755 g;0.798 g;0.761 g;0.878 g;0.222 g;0.687 g;0.896 g;0.29 g;0.0 g;0.00 g;0;0;0;0;0;0;10.70 g;4.550 g;5.723 g;0.427 g;73.00 mg;0.0 g;0.90 g;0.00 mg;0.00 mg;68.73 g
5446;Pork, raw, separable lean only, shank half, leg (ham), fresh;100 g;119;3g;0.9g;66mg;90.00 mg;74.4 mg;0.00 mcg;0.00 mcg;6.273 mg;0.622 mg;0.343 mg;0.522 mg;9.00 IU;3.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;0.51 mcg;0.531 mg;0.0 mg;11.00 IU;0.29 mg;0.29 mg;0.0 mcg;12.00 mg;0.142 mg;0.77 mg;21.00 mg;0.026 mg;224.00 mg;329.00 mg;21.3 mcg;2.25 mg;21.66 g;1.240 g;1.395 g;2.026 g;0.244 g;3.308 g;0.979 g;0.881 g;0.076 g;1.025 g;1.782 g;1.926 g;0.594 g;0.900 g;0.876 g;0.904 g;0.952 g;0.258 g;0.858 g;1.095 g;0.00 g;0.0 g;0.00 g;0;0;0;0;0;0;2.95 g;0.917 g;1.214 g;0.605 g;66.00 mg;0.0 g;1.11 g;0.00 mg;0.00 mg;74.88 g
